601,Apt 869,PO Box 94431,2022-10-04,2022-12-02,Kincaid Gelly,9,Soup Campbells,57,11,627,7,670.89
602,Apt 1916,PO Box 16026,2023-01-16,2022-09-19,Garek Haggerston,1,Wine - Riesling Alsace Ac 2001,52,92,4784,7,5118.88
603,Room 1660,Suite 88,2022-08-05,2024-02-05,Winthrop Swetenham,49,Longos - Grilled Veg Sandwiches,47,51,2397,10,2636.7
604,Suite 15,Apt 1364,2023-02-05,2023-02-25,Gertrud Gusney,19,Beef - Tenderloin,57,33,1881,10,2069.1
605,Room 1754,Apt 319,2022-08-04,2023-12-02,Sunny Alexis,46,Island Oasis - Sweet And Sour Mix,1,19,19,21,22.99
606,Room 1213,7th Floor,2022-07-01,2023-12-11,Cletis O'Geneay,4,Roe - Flying Fish,80,12,960,21,1161.6
607,Suite 21,Room 251,2022-12-12,2023-10-26,Oneida Fosse,21,"Ice - Clear, 300 Lb For Carving",66,21,1386,10,1524.6
608,Suite 43,Apt 1090,2022-11-08,2022-12-01,Merwin Gibbetts,44,"Cheese - Havarti, Roasted Garlic",96,58,5568,7,5957.76
609,5th Floor,2nd Floor,2022-04-27,2023-03-18,Joelynn Icom,8,Bamboo Shoots - Sliced,63,10,630,7,674.1
610,Apt 584,Apt 913,2022-07-23,2022-09-23,Sandi Gulberg,33,"Pepper - Paprika, Spanish",43,60,2580,10,2838
611,Apt 743,18th Floor,2022-04-25,2022-10-23,Abbe Rowesby,42,Napkin - Beverage 1 Ply,22,58,1276,10,1403.6
612,,,2022-06-26,2023-03-31,,50,Cheese - Augre Des Champs,100,88,8800,21,10648
613,13th Floor,7th Floor,2022-07-27,2023-05-14,Bernardina Tamburi,32,Onions - Cippolini,60,6,360,10,396
614,Apt 384,PO Box 89978,2023-02-08,2022-10-01,Lexis Beauly,20,Instant Coffee,68,100,6800,21,8228
615,Room 33,19th Floor,2022-06-19,2022-08-23,Talbert Itzhaiek,39,"Pepper - Chillies, Crushed",71,8,568,10,624.8
616,Room 1172,11th Floor,2023-01-31,2023-07-18,Luciana Read,45,Bread - English Muffin,74,94,6956,21,8416.76
617,Suite 58,Room 1007,2022-05-09,2023-11-18,Moe Shearston,18,Wine - Periguita Fonseca,70,73,5110,10,5621
618,PO Box 11955,PO Box 90973,2022-10-09,2023-01-22,Kelly McGebenay,11,Milk - Homo,73,11,803,21,971.63
619,,,2022-06-29,2023-11-25,,28,Gelatine Leaves - Envelopes,40,66,2640,10,2904
620,Room 1236,Suite 93,2022-06-15,2022-08-01,Revkah Hulk,2,Sprouts - Alfalfa,26,63,1638,7,1752.66
621,PO Box 98690,Suite 16,2023-01-15,2023-01-21,Calida Duckels,46,Beef - Short Loin,76,74,5624,10,6186.4
622,Apt 35,11th Floor,2022-12-20,2022-09-29,Merwyn Halladay,50,Salt And Pepper Mix - White,63,23,1449,7,1550.43
623,PO Box 23807,Room 1322,2022-09-03,2023-05-06,Ailey Vedstra,21,Cinnamon Buns Sticky,57,62,3534,21,4276.14
624,Suite 17,PO Box 75218,2022-10-08,2023-07-26,Ruthanne Liebrecht,32,Triple Sec - Mcguinness,61,44,2684,7,2871.88
625,PO Box 63860,Suite 69,2022-05-27,2022-04-17,Marcille Chattington,2,,89,20,1780,7,
626,15th Floor,Suite 63,2023-03-31,2023-04-03,Effie Rany,7,Pizza Pizza Dough,3,98,294,21,355.74
627,1st Floor,Suite 79,2022-06-17,2023-07-31,Tuesday Baty,14,Instant Coffee,88,38,3344,10,3678.4
628,Suite 7,Room 104,2023-02-14,2023-01-03,Jeana Ortas,35,Ecolab Crystal Fusion,2,87,174,10,191.4
629,Apt 784,18th Floor,2022-12-05,2022-09-29,Spike Levensky,4,Beer - Maudite,41,75,,10,3382.5
630,,,2022-06-22,2023-03-28,,41,Beef - Sushi Flat Iron Steak,18,23,414,10,455.4
631,Room 1551,11th Floor,2023-02-25,2023-02-01,Elmira Spickett,26,,86,68,5848,21,
632,Room 1359,Suite 29,2023-03-30,2023-03-13,Karlen Nurse,39,Veal - Sweetbread,14,86,1204,10,1324.4
633,Suite 11,Apt 532,2022-11-01,2022-07-29,Anselm Fiddler,6,Cocoa Butter,97,99,9603,7,10275.21
634,Room 1638,PO Box 19700,2022-10-25,2022-11-03,Clarey Yukhnini,47,"Red Snapper - Fresh, Whole",53,10,530,7,567.1
635,12th Floor,PO Box 22685,2022-11-06,2022-09-28,Waiter Sweetlove,37,Mahi Mahi,61,34,2074,7,2219.18
636,Suite 91,Suite 18,2023-01-22,2023-07-30,Fredrika Castiblanco,16,Pork - Inside,52,49,2548,21,3083.08
637,,,2022-05-14,2022-12-18,,6,Tea - English Breakfast,36,51,1836,10,2019.6
638,Apt 1324,Apt 52,2022-12-08,2023-04-26,Lezlie Rainton,19,Soup - Chicken And Wild Rice,38,48,1824,10,2006.4
639,Apt 1940,Suite 32,2022-09-07,2023-10-10,Hyacintha Fairleigh,18,Mushroom - Portebello,71,81,5751,10,6326.1
640,PO Box 25775,Suite 20,2022-05-19,2023-03-13,Tabbi Pinckard,26,Macaroons - Two Bite Choc,88,62,5456,21,6601.76
641,Apt 798,Room 1146,2022-11-22,2023-08-28,Ingaborg Van De Cappelle,14,Sobe - Green Tea,46,91,4186,10,4604.6
642,Room 827,Apt 1617,2022-09-09,2023-10-03,Nicholas Gainforth,41,Apricots Fresh,63,32,2016,10,2217.6
643,PO Box 28084,PO Box 49774,2023-03-20,2024-03-11,Trix Karlsson,44,Juice - Orange,29,93,2697,21,3263.37
644,Room 1885,PO Box 3724,2022-10-27,2023-05-25,Jerrie Matthew,39,,61,88,5368,7,
645,Apt 761,Apt 1032,2023-01-29,2023-12-03,Gusty Ballsdon,47,"Chicken - Leg, Fresh",74,56,4144,7,4434.08
646,Room 501,Apt 710,2023-01-31,2024-01-18,Catha MacKill,31,"Beans - Kidney, Canned",53,34,1802,21,2180.42
647,,,2023-02-01,2023-02-23,,28,Chervil - Fresh,59,12,708,21,856.68
648,Apt 1315,PO Box 64884,2023-01-04,2022-12-04,Grantham Whittier,31,Coffee Decaf Colombian,1,75,75,21,90.75
649,PO Box 68880,Suite 43,2022-04-05,2023-10-13,Diane-marie Bahls,20,Long Island Ice Tea,84,32,2688,10,2956.8
650,Room 1006,Room 621,2023-03-21,2022-06-27,Stewart Mandry,48,"Crab - Back Fin Meat, Canned",17,27,459,21,555.39
651,5th Floor,Suite 67,2022-06-18,2023-05-14,Kat Greatorex,40,Wine - Chianti Classico Riserva,42,66,2772,10,3049.2
652,PO Box 75034,4th Floor,2022-09-06,2023-11-16,Basile Ugoletti,47,Wine - Savigny - Les - Beaune,35,72,2520,10,2772
653,2nd Floor,Room 1927,2023-01-22,2022-04-04,Inglis Gormally,7,Plastic Arrow Stir Stick,92,8,736,21,890.56
654,Room 1727,20th Floor,2023-03-05,2024-03-20,Trstram Phetteplace,3,"Bread - Roll, Canadian Dinner",65,32,2080,10,2288
655,Apt 1747,8th Floor,2022-05-27,2023-11-07,Ford Tyer,5,Cherries - Fresh,85,14,1190,7,1273.3
656,PO Box 19545,Room 571,2023-03-19,2023-02-09,Josie Dickerline,7,Pastry - Apple Muffins - Mini,10,11,110,10,121
657,1st Floor,Apt 751,2022-09-09,2023-12-08,Sarene Venner,24,Soup - Campbellschix Stew,3,55,,7,176.55
658,9th Floor,PO Box 56787,2022-07-11,2023-11-27,Katina Dunstan,3,Mountain Dew,95,98,9310,7,9961.7
659,16th Floor,17th Floor,2023-01-05,2022-10-06,Donaugh Barz,28,Flour - Chickpea,18,75,1350,7,1444.5
660,Suite 26,PO Box 90501,2022-07-15,2022-08-26,Anselm Stainton,27,Cheese - Gouda Smoked,7,33,231,21,279.51
661,PO Box 51057,Suite 78,2022-06-19,2022-12-01,Rosalia Manders,3,Raspberries - Frozen,37,31,1147,7,1227.29
662,12th Floor,Apt 754,2022-11-09,2023-07-14,Shaylynn Berney,10,"Mushroom - Enoki, Fresh",93,57,5301,7,5672.07
663,Suite 26,6th Floor,2022-10-16,2023-07-18,Sarena Hadigate,11,Corn Shoots,7,23,161,21,194.81
664,Room 400,PO Box 15743,2022-04-04,2023-04-25,Dion Goolding,17,Garam Marsala,42,65,2730,21,3303.3
665,,,2022-06-08,2022-05-10,,13,Sea Bass - Fillets,42,47,1974,21,2388.54
666,PO Box 9667,PO Box 72943,2022-10-30,2024-02-27,Miner Ubank,15,"Carrots - Purple, Organic",98,27,2646,10,2910.6
667,,,2023-02-24,2022-05-25,,11,Hinge W Undercut,11,64,704,7,753.28
668,Apt 300,Room 988,2022-08-08,2023-10-12,Susannah Wondraschek,4,Cheese - Brie Roitelet,4,11,44,10,48.4
669,,,2023-02-24,2023-12-21,,13,Bread - Ciabatta Buns,90,77,6930,10,7623
670,Apt 1486,Apt 1056,2023-02-24,2023-07-24,Mac Swan,9,Shrimp - Black Tiger 6 - 8,51,61,3111,21,3764.31
671,,,2022-06-14,2023-04-15,,32,"Star Anise, Whole",26,58,1508,21,1824.68
672,10th Floor,Suite 1,2022-11-02,2023-11-22,Leon Blow,37,Potatoes - Mini Red,64,96,6144,10,6758.4
673,PO Box 5351,Apt 421,2023-02-19,2022-05-02,Max Dornan,44,Trueblue - Blueberry Cranberry,73,96,7008,21,8479.68
674,,,2022-07-17,2023-11-02,,17,"Cup - 3.5oz, Foam",26,34,884,7,945.88
675,,,2022-08-02,2023-04-11,,1,Bandage - Fexible 1x3,21,100,2100,7,2247
676,Apt 909,Room 1518,2022-11-01,2022-10-30,Wright Olver,15,Nantucket - Pomegranate Pear,9,59,531,10,584.1
677,PO Box 28584,Room 1212,2022-07-09,2024-02-19,Golda Kedwell,24,Skewers - Bamboo,7,9,63,10,69.3
678,12th Floor,Apt 1356,2022-09-12,2023-08-20,Leicester Phayre,4,Pork - Smoked Kassler,26,94,2444,21,2957.24
679,Room 1359,Suite 8,2022-09-15,2023-04-24,Jackqueline Harse,11,"Cheese - Brie, Triple Creme",68,90,6120,10,6732
680,,,2023-03-03,2022-07-17,,13,Salmon - Canned,64,42,2688,7,2876.16
681,,,2023-02-10,2022-06-25,,38,Pepper - Orange,72,47,3384,10,3722.4
682,Room 531,Apt 509,2023-01-21,2023-02-18,Alastair Connors,39,Sachet,96,25,2400,7,2568
683,,,2022-04-04,2023-02-25,,17,Truffle - Peelings,89,84,7476,10,8223.6
684,PO Box 47495,PO Box 46702,2022-11-27,2024-02-20,Valentia Dominiak,46,Kippers - Smoked,99,91,,10,9909.9
685,PO Box 14165,PO Box 59544,2022-05-30,2023-01-30,Rosana Bertson,1,Bagelers - Cinn / Brown Sugar,1,98,98,7,104.86
686,,,2022-09-14,2022-08-17,,32,Tia Maria,28,69,1932,21,2337.72
687,,,2022-12-28,2023-12-28,,25,Pastry - Apple Large,88,52,4576,7,4896.32
688,Room 1350,Suite 73,2022-12-26,2024-01-28,Magda Linskey,37,Cheese - Mix,5,89,445,10,489.5
689,Room 1896,Apt 1683,2022-06-02,2023-10-27,Maible Farrer,27,Mangoes,87,9,783,21,947.43
690,PO Box 22118,Room 235,2022-09-08,2022-05-17,Joshia Wernham,4,Tomatoes - Grape,89,85,7565,7,8094.55
